url,title
https://es.wiktionary.org/w/index.php?curid=384874,aboya
https://es.wiktionary.org/w/index.php?curid=220403,abran
https://es.wiktionary.org/w/index.php?curid=220338,abras
https://es.wiktionary.org/w/index.php?curid=900928,acles
https://es.wiktionary.org/w/index.php?curid=226644,acoja
https://es.wiktionary.org/w/index.php?curid=226613,acojo
https://es.wiktionary.org/w/index.php?curid=860759,acres
https://es.wiktionary.org/w/index.php?curid=123798,actas
https://es.wiktionary.org/w/index.php?curid=490959,actos
https://es.wiktionary.org/w/index.php?curid=418615,acuna
https://es.wiktionary.org/w/index.php?curid=418653,acune
https://es.wiktionary.org/w/index.php?curid=418611,acuno
https://es.wiktionary.org/w/index.php?curid=217829,acuso
https://es.wiktionary.org/w/index.php?curid=217785,acuña
https://es.wiktionary.org/w/index.php?curid=218047,acuñe
https://es.wiktionary.org/w/index.php?curid=217781,acuño
https://es.wiktionary.org/w/index.php?curid=409381,afeas
https://es.wiktionary.org/w/index.php?curid=533232,aguda
https://es.wiktionary.org/w/index.php?curid=43820,agudo
https://es.wiktionary.org/w/index.php?curid=870608,albas
https://es.wiktionary.org/w/index.php?curid=370821,albos
https://es.wiktionary.org/w/index.php?curid=204973,alces
https://es.wiktionary.org/w/index.php?curid=163462,algas
https://es.wiktionary.org/w/index.php?curid=915514,almas
https://es.wiktionary.org/w/index.php?curid=334084,alojo
https://es.wiktionary.org/w/index.php?curid=549631,altas
https://es.wiktionary.org/w/index.php?curid=491179,altos
https://es.wiktionary.org/w/index.php?curid=56070,amina
https://es.wiktionary.org/w/index.php?curid=928443,ancas
https://es.wiktionary.org/w/index.php?curid=311020,andas
https://es.wiktionary.org/w/index.php?curid=311044,andes
https://es.wiktionary.org/w/index.php?curid=182248,anima
https://es.wiktionary.org/w/index.php?curid=873519,aojar
https://es.wiktionary.org/w/index.php?curid=423329,aojas
https://es.wiktionary.org/w/index.php?curid=819558,aojos
https://es.wiktionary.org/w/index.php?curid=332780,apoda
https://es.wiktionary.org/w/index.php?curid=110327,apodo
https://es.wiktionary.org/w/index.php?curid=428999,aptas
https://es.wiktionary.org/w/index.php?curid=900929,arces
https://es.wiktionary.org/w/index.php?curid=172021,arcos
https://es.wiktionary.org/w/index.php?curid=227496,ardan
https://es.wiktionary.org/w/index.php?curid=227495,ardas
https://es.wiktionary.org/w/index.php?curid=227471,ardes
https://es.wiktionary.org/w/index.php?curid=856431,arias
https://es.wiktionary.org/w/index.php?curid=819527,arios
https://es.wiktionary.org/w/index.php?curid=491355,arlos
https://es.wiktionary.org/w/index.php?curid=205070,armes
https://es.wiktionary.org/w/index.php?curid=426581,arpas
https://es.wiktionary.org/w/index.php?curid=132718,artes
https://es.wiktionary.org/w/index.php?curid=17837,Aruba
https://es.wiktionary.org/w/index.php?curid=424885,aruñe
https://es.wiktionary.org/w/index.php?curid=424849,aruño
https://es.wiktionary.org/w/index.php?curid=491407,ascos
https://es.wiktionary.org/w/index.php?curid=442188,asees
https://es.wiktionary.org/w/index.php?curid=819645,aseos
https://es.wiktionary.org/w/index.php?curid=386789,asolo
https://es.wiktionary.org/w/index.php?curid=434983,atoja
https://es.wiktionary.org/w/index.php?curid=434994,atojo
https://es.wiktionary.org/w/index.php?curid=330967,avale
https://es.wiktionary.org/w/index.php?curid=515761,avara
https://es.wiktionary.org/w/index.php?curid=452834,bagas
https://es.wiktionary.org/w/index.php?curid=330502,bajas
https://es.wiktionary.org/w/index.php?curid=330398,balas
